person_id,popularity,followers,name
3GdSQUH1BRtl9UrrtuwJlP,66.0,10117.0,Irshad Kamil
1WXbiUMl1AT9Inb619xPUg,65.0,1811247.0,BIN
7HGNYPmbDrMkylWqeFCOIQ,65.0,2167627.0,Caetano Veloso
2sG4zTOLvjKG1PSoOyf5Ej,65.0,778914.0,Brandi Carlile
5JYo7gm2dkyLLlWHjxS7Dy,65.0,101598.0,Sandro Cavazza
5rrmaoBXZ7Jcs4Qb77j0YA,65.0,2573530.0,Djavan
1buzCmyYZE4kcdLRudsb8V,65.0,130317.0,Mikky Ekko
5d1JhBfyb58upMXCZOdbQu,65.0,800500.0,Phil Wickham
5Znx4PG5UsUitigaJnmZX3,65.0,575410.0,Flora Matos
0vn7UBvSQECKJm2817Yf1P,65.0,2465923.0,James Taylor
2mxe0TnaNL039ysAj51xPQ,65.0,2505009.0,R. Kelly
5nLYd9ST4Cnwy6NHaCxbj8,65.0,588437.0,CeeLo Green
2iK1rsbYstkSVn57M4s8ut,65.0,1677377.0,Gaab
7iETGaxJ4crz3qaljDPCKC,65.0,73034.0,Brooke Ligertwood
1A9o3Ljt67pFZ89YtPPL5X,65.0,1091846.0,Snoh Aalegra
6Xb4ezwoAQC4516kI89nWz,65.0,449074.0,Imogen Heap
0NiaKn55OzJswiYevvlKfz,65.0,2265782.0,Raí Saia Rodada
3QJzdZJYIAcoET1GcfpNGi,65.0,1484444.0,Damian Marley
1phfTBIocBW3UwqcYjaEN6,65.0,3146568.0,Mike Bahía
6PERJZF7wohA034PAxDK0b,65.0,87656.0,Neo Beats
7FIoB5PHdrMZVC3q2HE5MS,65.0,2533254.0,George Harrison
1A5QJAC1vdhbhPE25Q0x0f,65.0,3521767.0,O Rappa
5qBZETtyzfYnXOobDXbmcD,65.0,379985.0,Danny Elfman
13YmWQJFwgZrd4bf5IjMY4,64.0,2725180.0,Brad Paisley
6pRi6EIPXz4QJEOEsBaA0m,64.0,1815020.0,Chris Tomlin
4Rxn7Im3LGfyRkY2FlHhWi,64.0,9457772.0,Nick Jonas
1YzCsTRb22dQkh9lghPIrp,64.0,1798765.0,Billie Holiday
7C4sUpWGlTy7IANjruj02I,64.0,1605139.0,Peter Gabriel
5WFFFHVqeVk5tLuYh2KjQy,64.0,910554.0,Luccas Carlos
7crPfGd2k81ekOoSqQKWWz,64.0,1386119.0,Stevie Nicks
50JJSqHUf2RQ9xsHs0KMHg,64.0,1383406.0,Jon Bellion
2UFqwY8A3PLcx8pAkg9g5P,64.0,1419048.0,Diego Verdaguer
0i1s9WcIu0PrUvHzALgofo,64.0,1381745.0,Seu Jorge
1nIUhcKHnK6iyumRyoV68C,64.0,1086750.0,Ennio Morricone
4rc8nzClXj7sUjvsHVg6AD,64.0,158070.0,Naomi Raine
1csBgT42N4pPPs1HJhxXIK,63.0,232797.0,Thomas Newman
