followers,genres,popularity,country,iso_code,person_id,name,person_kind
43274776.0,"['rap', 'hip-hop']",84.0,United States,USA,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,Performers
41415745.0,['pop'],84.0,United States,USA,04gDigrS5kc9YWfZHwBETP,Maroon 5,Performers
23384174.0,"['pop', 'edm', 'house', 'cultural']",84.0,United Kingdom,GBR,7CajNmpbOovFoOoasH2HaY,Calvin Harris,Writers
1258109.0,['trap'],84.0,United States,USA,3MdXrJWsbVzdn6fe5JYkSQ,Latto,Performers
967405.0,['hoerspiel'],84.0,Germany,DEU,3meJIgRw7YleJrmbpbJK6S,Die drei ???,Performers
6089605.0,"['hip-hop', 'rap', 'trap']",84.0,United States,USA,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,Performers
22373290.0,['pop'],84.0,United States,USA,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,Performers
6885279.0,"['reggaeton', 'trap', 'urbano']",84.0,Puerto Rico,PRI,6nVcHLIgY5pE2YCl8ubca1,Jhayco,Writers
23384174.0,"['pop', 'edm', 'house', 'cultural']",84.0,United Kingdom,GBR,7CajNmpbOovFoOoasH2HaY,Calvin Harris,Producers
23384174.0,"['pop', 'edm', 'house', 'cultural']",84.0,United Kingdom,GBR,7CajNmpbOovFoOoasH2HaY,Calvin Harris,Performers
9019613.0,"['hip-hop', 'plugg', 'pluggnb', 'rap']",84.0,United States,USA,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,Performers
6885279.0,"['reggaeton', 'trap', 'urbano']",84.0,Puerto Rico,PRI,6nVcHLIgY5pE2YCl8ubca1,Jhayco,Performers
22373290.0,['pop'],84.0,United States,USA,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,Writers
1425118.0,"['trap', 'urbano']",83.0,Puerto Rico,PRI,3qsKSpcV3ncke3hw52JSMB,Young Miko,Performers
16137441.0,['pop'],83.0,United States,USA,6LuN9FCkKOj5PcnpouEgny,Khalid,Writers
12906054.0,"['hip-hop', 'rap']",83.0,United States,USA,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",Producers
3037118.0,"['hip-hop', 'pop', 'rap']",83.0,United States,USA,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,Performers
45899100.0,['pop'],83.0,United States,USA,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,Writers
16137441.0,['pop'],83.0,United States,USA,6LuN9FCkKOj5PcnpouEgny,Khalid,Performers
3037118.0,"['hip-hop', 'pop', 'rap']",83.0,United States,USA,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,Writers
28202246.0,['pop'],83.0,United States,USA,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Writers
5239888.0,"['trap', 'urbano']",83.0,Puerto Rico,PRI,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,Writers
1408308.0,['indie'],83.0,United States,USA,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,Performers
11991360.0,"['hip-hop', 'soul']",83.0,United States,USA,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,Performers
23193571.0,['pop'],83.0,United Kingdom,GBR,2wY79sveU1sp5g7SokKOiI,Sam Smith,Writers
11991360.0,"['hip-hop', 'soul']",83.0,United States,USA,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,Writers
9420040.0,['country'],83.0,United States,USA,718COspgdWOnwOFpJHRZHS,Luke Combs,Performers
5239888.0,"['trap', 'urbano']",83.0,Puerto Rico,PRI,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,Performers
5487532.0,['pop'],83.0,United States,USA,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,Performers
28202246.0,['pop'],83.0,United States,USA,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Performers
15731386.0,"['j-division', 'ost']",83.0,South Korea,KOR,3JsHnjpbhX4SnySpvpa9DK,V,Performers
3338714.0,"['pluggnb', 'rap']",83.0,United States,USA,3qiHUAX7zY4Qnjx8TNUzVx,Yeat,Performers
5788267.0,['k-pop'],83.0,South Korea,KOR,6HvZYsbFfjnjFrWF950C9d,NewJeans,Performers
9028551.0,"['hip-hop', 'trap', 'rap']",83.0,United States,USA,50co4Is1HCEo8bhOyUWKpn,Young Thug,Performers
45899100.0,['pop'],83.0,United States,USA,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,Performers
12906054.0,"['hip-hop', 'rap']",83.0,United States,USA,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",Performers
1261073.0,['trap'],83.0,Argentina,ARG,19HM5j0ULGSmEoRcrSe5x3,Milo j,Performers
23193571.0,['pop'],83.0,United Kingdom,GBR,2wY79sveU1sp5g7SokKOiI,Sam Smith,Performers
20282032.0,"['filmi', 'bollywood']",82.0,India,IND,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,Performers
1054606.0,"['corrido', 'sierreno']",82.0,Mexico,MEX,6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,Writers
16331895.0,"['rock', 'pop']",82.0,United States,USA,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,Performers
3340210.0,['funk'],82.0,Brazil,BRA,75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,Performers
13090547.0,"['pop', 'reggaeton', 'trap', 'urbano']",82.0,Colombia,COL,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,Performers
4760098.0,"['r&b', 'rap']",82.0,United States,USA,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,Performers
9621662.0,"['hip-hop', 'rap', 'pop']",82.0,United States,USA,4LLpKhyESsyAXpc4laK94U,Mac Miller,Performers
3267999.0,"['agronejo', 'pop']",82.0,Brazil,BRA,2CKOmarVWvWqkNWUatHCex,Ana Castela,Performers
7114701.0,"['big room', 'brostep', 'edm', 'house', 'pop', 'trance']",82.0,Netherlands,NLD,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,Writers
7114701.0,"['big room', 'brostep', 'edm', 'house', 'pop', 'trance']",82.0,Netherlands,NLD,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,Producers
3878467.0,"['alt z', 'pop']",82.0,Canada,CAN,45dkTj5sMRSjrmBSBeiHym,Tate McRae,Performers
9604010.0,"['hip-hop', 'trap', 'urbano']",82.0,Argentina,ARG,1bAftSH8umNcGZ0uyV7LMg,Duki,Writers
12674466.0,"['hip-hop', 'rap', 'pop']",82.0,United States,USA,3q7HBObVc0L8jNeTe5Gofh,50 Cent,Performers
27029102.0,"['cultural', 'pop']",82.0,Australia,AUS,5WUlDfRSoLAfcVSX1WnrxN,Sia,Writers
46218159.0,"['k-pop', 'pop']",82.0,South Korea,KOR,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,Performers
8646301.0,"['hip-hop', 'rap', 'pop']",82.0,United States,USA,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,Producers
6741403.0,['k-pop'],82.0,South Korea,KOR,1oSPZhvZMIrWW5I41kPkkY,Jimin,Performers
27029102.0,"['cultural', 'pop']",82.0,Australia,AUS,5WUlDfRSoLAfcVSX1WnrxN,Sia,Performers
29867087.0,['pop'],82.0,United States,USA,6jJ0s89eD6GaHleKKya26X,Katy Perry,Writers
13090547.0,"['pop', 'reggaeton', 'trap', 'urbano']",82.0,Colombia,COL,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,Writers
29867087.0,['pop'],82.0,United States,USA,6jJ0s89eD6GaHleKKya26X,Katy Perry,Performers
6386371.0,"['chicago drill', 'rap', 'drill', 'hip-hop', 'trap']",82.0,United States,USA,3hcs9uc56yIGFCSy9leWe7,Lil Durk,Performers
7114701.0,"['big room', 'brostep', 'edm', 'house', 'pop', 'trance']",82.0,Netherlands,NLD,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,Performers
12275982.0,"['hip-hop', 'reggaeton', 'trap', 'urbano']",82.0,Puerto Rico,PRI,4SsVbpTthjScTS7U2hmr1X,Arcángel,Performers
15588051.0,"['reggaeton', 'trap', 'urbano']",82.0,Puerto Rico,PRI,329e4yvIujISKGKz1BZZbO,Farruko,Performers
1054606.0,"['corrido', 'sierreno']",82.0,Mexico,MEX,6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,Performers
